,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent
0,,"
North America
","2,044,346","+3,513","123,858",+386,"670,598","1,249,890","19,427",,,,,,North America
1,,"
South America
","847,008","+2,389","39,340",+25,"345,961","461,707","11,281",,,,,,South America
2,,"
Europe
","2,004,226",,"173,280",,"978,245","852,701","8,796",,,,,,Europe
3,,"
Asia
","1,108,043",+522,"30,208",+1,"672,401","405,434","13,624",,,,,,Asia
4,,"
Africa
","143,769",,"4,092",,"60,987","78,690",370,,,,,,Africa
5,,"
Oceania
","8,801",+7,125,,"8,196",480,4,,,,,,Australia/Oceania
6,,"

",721,,15,,651,55,4,,,,,,
71,64,Iraq,"6,179",,195 ,,"3,110","2,874",36,154,5,"211,485","5,269","40,137,925 ",Asia
72,65,Cameroon,"5,904",,191 ,,"3,568","2,145",28,223,7,,,"26,483,044 ",Africa
73,66,Azerbaijan,"5,246",,61 ,,"3,327","1,858",42,518,6,"294,264","29,045","10,131,281 ",Asia
74,67,Honduras,"5,094",+208,201 ,+2,536,"4,357",13,515,20,"14,790","1,495","9,890,414 ",North America
75,68,Sudan,"4,800",,262 ,,"1,272","3,266",,110,6,401,9,"43,752,816 ",Africa
76,69,Guatemala,"4,739",+132,102 ,+12,706,"3,931",5,265,6,"31,427","1,757","17,885,239 ",North America
77,70,Luxembourg,"4,016",,110 ,,"3,815",91,4,"6,425",176,"74,366","118,975","625,058 ",Europe
78,71,Hungary,"3,867",,524 ,,"2,142","1,201",22,400,54,"183,562","18,998","9,662,323 ",Europe
79,72,Tajikistan,"3,807",,47 ,,"1,865","1,895",,400,5,,,"9,517,571 ",Asia
80,73,Guinea,"3,706",,23 ,,"2,030","1,653",24,283,2,"14,407","1,100","13,098,481 ",Africa
81,74,Uzbekistan,"3,546",,14 ,,"2,783",749,7,106,0.4,"460,000","13,762","33,425,870 ",Asia
